check,status,subject,detail
automatic_continuity,pass,WIKI-1996-051,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-052,CNUR-000248
automatic_continuity,pass,WIKI-1996-052,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-053,CNUR-000295
automatic_continuity,pass,WIKI-1996-053,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-054,CNUR-000294
automatic_continuity,pass,WIKI-1996-054,type=upgrade automatic=True
entity_reference,pass,WIKI-1996-055,CNUR-000177
automatic_continuity,pass,WIKI-1996-055,type=rename automatic=True
entity_reference,pass,WIKI-1996-056,CNUR-000345
automatic_continuity,pass,WIKI-1996-056,type=jurisdiction_transfer automatic=False
historical_lifespan,pass,WIKI-1996-056,event=1996 lifespan=1988-1997
entity_reference,pass,WIKI-1997-057,CNUR-000149
automatic_continuity,pass,WIKI-1997-057,type=upgrade automatic=True
entity_reference,pass,WIKI-1997-058,CNUR-000165
automatic_continuity,pass,WIKI-1997-058,type=upgrade automatic=True
entity_reference,pass,WIKI-1997-059,CNUR-000193
automatic_continuity,pass,WIKI-1997-059,type=upgrade automatic=True
entity_reference,pass,WIKI-1997-060,CNUR-000225
automatic_continuity,pass,WIKI-1997-060,type=upgrade automatic=True
entity_reference,pass,WIKI-1997-061,CNUR-000259
automatic_continuity,pass,WIKI-1997-061,type=upgrade automatic=True
entity_reference,pass,WIKI-1997-062,CNUR-000267
automatic_continuity,pass,WIKI-1997-062,type=upgrade automatic=True
entity_reference,pass,WIKI-1997-063,CNUR-000268
automatic_continuity,pass,WIKI-1997-063,type=upgrade automatic=True
entity_reference,pass,WIKI-1997-064,CNUR-000227
automatic_continuity,pass,WIKI-1997-064,type=rename automatic=True
entity_reference,pass,WIKI-1997-065,CNUR-000247
automatic_continuity,pass,WIKI-1997-065,type=establish_prefecture automatic=False
entity_reference,pass,WIKI-1998-066,CNUR-000109
automatic_continuity,pass,WIKI-1998-066,type=upgrade automatic=True
entity_reference,pass,WIKI-1998-067,CNUR-000130
automatic_continuity,pass,WIKI-1998-067,type=upgrade automatic=True
entity_reference,pass,WIKI-1998-068,CNUR-000166
automatic_continuity,pass,WIKI-1998-068,type=upgrade automatic=True
entity_reference,pass,WIKI-1998-069,CNUR-000179
automatic_continuity,pass,WIKI-1998-069,type=upgrade automatic=True
entity_reference,pass,WIKI-1998-070,CNUR-000249
automatic_continuity,pass,WIKI-1998-070,type=upgrade automatic=True
entity_reference,pass,WIKI-1998-071,CNUR-000323
automatic_continuity,pass,WIKI-1998-071,type=upgrade automatic=True
entity_reference,pass,WIKI-1998-072,CNUR-000253
automatic_continuity,pass,WIKI-1998-072,type=establish_prefecture automatic=False
entity_reference,pass,WIKI-1999-073,CNUR-000020
automatic_continuity,pass,WIKI-1999-073,type=upgrade automatic=True
entity_reference,pass,WIKI-1999-074,CNUR-000071
automatic_continuity,pass,WIKI-1999-074,type=upgrade automatic=True
entity_reference,pass,WIKI-1999-075,CNUR-000110
automatic_continuity,pass,WIKI-1999-075,type=upgrade automatic=True
entity_reference,pass,WIKI-1999-076,CNUR-000111
automatic_continuity,pass,WIKI-1999-076,type=upgrade automatic=True
entity_reference,pass,WIKI-1999-077,CNUR-000123
automatic_continuity,pass,WIKI-1999-077,type=upgrade automatic=True
entity_reference,pass,WIKI-1999-078,CNUR-000194
automatic_continuity,pass,WIKI-1999-078,type=upgrade automatic=True
entity_reference,pass,WIKI-1999-079,CNUR-000250
automatic_continuity,pass,WIKI-1999-079,type=upgrade automatic=True
entity_reference,pass,WIKI-1999-080,CNUR-000296
automatic_continuity,pass,WIKI-1999-080,type=upgrade automatic=True
entity_reference,pass,WIKI-1999-081,CNUR-000029
automatic_continuity,pass,WIKI-1999-081,type=upgrade automatic=True
entity_reference,pass,PL-2000-001,CNUR-000131
automatic_continuity,pass,PL-2000-001,type=upgrade automatic=True
event_roster_name,pass,PL-2000-001,event=吉安市 roster=吉安市
entity_reference,pass,PL-2000-002,CNUR-000097
automatic_continuity,pass,PL-2000-002,type=upgrade automatic=True
event_roster_name,pass,PL-2000-002,event=丽水市 roster=丽水市
entity_reference,pass,PL-2000-003,CNUR-000132
automatic_continuity,pass,PL-2000-003,type=upgrade automatic=True
event_roster_name,pass,PL-2000-003,event=宜春市 roster=宜春市
entity_reference,pass,PL-2000-004,CNUR-000167
automatic_continuity,pass,PL-2000-004,type=upgrade automatic=True
event_roster_name,pass,PL-2000-004,event=周口市 roster=周口市
entity_reference,pass,PL-2000-005,CNUR-000168
automatic_continuity,pass,PL-2000-005,type=upgrade automatic=True
