entity_id,name,start_year,end_year
E110100,北京市,2000,2024
E120100,天津市,2000,2024
E130100,石家庄市,2000,2024
E130200,唐山市,2000,2024
E130300,秦皇岛市,2000,2024
E130400,邯郸市,2000,2024
E130500,邢台市,2000,2024
E130600,保定市,2000,2024
E130700,张家口市,2000,2024
E130800,承德市,2000,2024
E130900,沧州市,2000,2024
E131000,廊坊市,2000,2024
E131100,衡水市,2000,2024
E140100,太原市,2000,2024
E140200,大同市,2000,2024
E140300,阳泉市,2000,2024
E140400,长治市,2000,2024
E140500,晋城市,2000,2024
E140600,朔州市,2000,2024
E140700,晋中市,2000,2024
E140800,运城市,2000,2024
E140900,忻州市,2000,2024
E141000,临汾市,2000,2024
E141100,吕梁地区,2000,2002
E141100,吕梁市,2003,2024
E150100,呼和浩特市,2000,2024
E150200,包头市,2000,2024
E150300,乌海市,2000,2024
E150400,赤峰市,2000,2024
E150500,通辽市,2000,2024
E150600,伊克昭盟,2000,2000
E150600,鄂尔多斯市,2001,2024
E150700,呼伦贝尔盟,2000,2000
E150700,呼伦贝尔市,2001,2024
E150800,巴彦淖尔盟,2000,2002
E150800,巴彦淖尔市,2003,2024
E150900,乌兰察布盟,2000,2002
E150900,乌兰察布市,2003,2024
E152200,兴安盟,2000,2024
E152500,锡林郭勒盟,2000,2024
E152900,阿拉善盟,2000,2024
E210100,沈阳市,2000,2024
E210200,大连市,2000,2024
E210300,鞍山市,2000,2024
E210400,抚顺市,2000,2024
E210500,本溪市,2000,2024
E210600,丹东市,2000,2024
E210700,锦州市,2000,2024
E210800,营口市,2000,2024
E210900,阜新市,2000,2024
E211000,辽阳市,2000,2024
E211100,盘锦市,2000,2024
E211200,铁岭市,2000,2024
E211300,朝阳市,2000,2024
E211400,葫芦岛市,2000,2024
E220100,长春市,2000,2024
E220200,吉林市,2000,2024
E220300,四平市,2000,2024
E220400,辽源市,2000,2024
E220500,通化市,2000,2024
E220600,白山市,2000,2024
E220700,松原市,2000,2024
E220800,白城市,2000,2024
E222400,延边朝鲜族自治州,2000,2024
E230100,哈尔滨市,2000,2024
E230200,齐齐哈尔市,2000,2024
E230300,鸡西市,2000,2024
E230400,鹤岗市,2000,2024
E230500,双鸭山市,2000,2024
E230600,大庆市,2000,2024
E230700,伊春市,2000,2024
E230800,佳木斯市,2000,2024
E230900,七台河市,2000,2024
E231000,牡丹江市,2000,2024
E231100,黑河市,2000,2024
E231200,绥化市,2000,2024
E232700,大兴安岭地区,2000,2024
E310100,上海市,2000,2024
E320100,南京市,2000,2024
E320200,无锡市,2000,2024
E320300,徐州市,2000,2024
E320400,常州市,2000,2024
E320500,苏州市,2000,2024
E320600,南通市,2000,2024
E320700,连云港市,2000,2024
E320800,淮安市,2000,2024
E320900,盐城市,2000,2024
E321000,扬州市,2000,2024
E321100,镇江市,2000,2024
E321200,泰州市,2000,2024
E321300,宿迁市,2000,2024
E330100,杭州市,2000,2024
E330200,宁波市,2000,2024
E330300,温州市,2000,2024
E330400,嘉兴市,2000,2024
E330500,湖州市,2000,2024
E330600,绍兴市,2000,2024
E330700,金华市,2000,2024
E330800,衢州市,2000,2024
E330900,舟山市,2000,2024
E331000,台州市,2000,2024
E331100,丽水市,2000,2024
E340100,合肥市,2000,2024
E340200,芜湖市,2000,2024
E340300,蚌埠市,2000,2024
E340400,淮南市,2000,2024
E340500,马鞍山市,2000,2024
E340600,淮北市,2000,2024
E340700,铜陵市,2000,2024
