source_id,snapshot_year,snapshot_label,snapshot_precision,panel_year,administrative_level,relative_path,record_count,shape_type,crs_status,shp_sha256,dbf_sha256
SRC-CTAMAP-1.30,2011,2011年初,year_start,2010,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2011/地级/T2011年初地级.shp,367,POLYGON,wgs84,0c94c533d552de60f220f21b37fc3208ca51cdab03d7824c697ea36a3f684127,44f9e5007ac357ad8c549494c3cd03351656669be395b38461ffc8a963fac2c5
SRC-CTAMAP-1.30,2012,2012年初,year_start,2011,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2012/省级/T2012年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,cf906011163518438b4186b02dec7aa0281cd88a6e1b4a23c73d01da39abe260
SRC-CTAMAP-1.30,2012,2012年初,year_start,2011,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2012/地级/T2012年初地级.shp,366,POLYGON,wgs84,bd3862e593e69b64dbd0577115dd716e7475fe25133c5641b653654a30a197cb,1dfcadb07198f7ec0f2312877b33ef6f4fabcd948ac9e89918626ce52ba96321
SRC-CTAMAP-1.30,2013,2013年初,year_start,2012,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2013/省级/T2013年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,5260334bd6e514c2bc407e30a8980907a76b3174b24c228b11f5cd2db44a0096
SRC-CTAMAP-1.30,2013,2013年初,year_start,2012,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2013/地级/T2013年初地级.shp,367,POLYGON,wgs84,6d329db818b067f297f77f1033130f58455bfd1c887b2c292e106c27cee484fe,6ba8e479927f19850f832296771eef69b29cea0df7c2baee0138ff8b915a7c22
SRC-CTAMAP-1.30,2014,2014年初,year_start,2013,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2014/省级/T2014年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,616d26685f362a077339206263f9e1fe836af80ed0268344a682539037dcc20e
SRC-CTAMAP-1.30,2014,2014年初,year_start,2013,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2014/地级/T2014年初地级.shp,367,POLYGON,wgs84,6d329db818b067f297f77f1033130f58455bfd1c887b2c292e106c27cee484fe,ad8b6abcd372d5c2cee8f413cd1268ee7a074a6a205f9cb383651058bc157f2a
SRC-CTAMAP-1.30,2015,2015年初,year_start,2014,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2015/省级/T2015年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,1b1114ea84e7566b624dfff6744785a374392822fe29a556ed2a88ef492fe299
SRC-CTAMAP-1.30,2015,2015年初,year_start,2014,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2015/地级/T2015年初地级.shp,368,POLYGON,wgs84,ba18fca7d1c3c9771c3d0b494948ccb3d58de6ec6df966c2fde0f9aa797c21a1,64a6ad3a16776d0932cd10df67ca2099ecb7cb6b5539a2f2182f068a489f18a2
SRC-CTAMAP-1.30,2016,2016年初,year_start,2015,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2016/省级/T2016年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,c31ecc155d4e07a28fd577ab16bbe20284a4d4bb3c23f1e316ad36c4df96bd8d
SRC-CTAMAP-1.30,2016,2016年初,year_start,2015,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2016/地级/T2016年初地级.shp,369,POLYGON,wgs84,e56960e118e32a5b9c91d27848d3f7d367a24f92dd14914d7a2ec98b0df6ec3d,36423fe11bf9ad16536e02f6e179b7bdcd22e368bf1130dd164e9953b451d641
SRC-CTAMAP-1.30,2017,2017年初,year_start,2016,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2017/省级/T2017年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,e04fae4824b778251096d4145fada9c6961b57036db8fb9699c96c59495cea9b
SRC-CTAMAP-1.30,2017,2017年初,year_start,2016,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2017/地级/T2017年初地级.shp,370,POLYGON,wgs84,3cb361aff862b9162bc5c24d02a34a48b4dac2af743da7cc829cfb59a81e8ac2,0eca596222df8ecffee8c2d4a3fd2e9721ed267a20c86fe9bf8bd76ce5e45d70
SRC-CTAMAP-1.30,2018,2018年初,year_start,2017,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2018/省级/T2018年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,dd36e93e007e7b747727ee7ca6423f6e279bc3ea3aae6888c97bac32bc49e442
SRC-CTAMAP-1.30,2018,2018年初,year_start,2017,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2018/地级/T2018年初地级.shp,370,POLYGON,wgs84,852e488688925392348d961fb4d3841c955d2b1e369b7f6a6a8281b655bb66aa,960d8a24dfd3f933483d1113b0c303803a74b07242314256faa037782445867a
SRC-CTAMAP-1.30,2019,2019年初,year_start,2018,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2019/省级/T2019年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,8bbe74f4befc8a5bfe43d022fa534c409b52a19e270e8bc7e375b78c4520f013
SRC-CTAMAP-1.30,2019,2019年初,year_start,2018,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2019/地级/T2019年初地级.shp,369,POLYGON,wgs84,43eba7dad54d0285b7d21129a1b0a5cf63b1840fb88dcebfa8e632e9d30052df,495016d444da0f3923de3b1c0e4a764cda127488bdfd7afbc697d8aa27c36382
SRC-CTAMAP-1.30,2020,2020年初,year_start,2019,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2020/省级/T2020年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,f323d2add9d4c77189e9245117c8884f174363ba4c519dba412dbb845cd81c6e
SRC-CTAMAP-1.30,2020,2020年初,year_start,2019,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2020/地级/T2020年初地级.shp,369,POLYGON,wgs84,43eba7dad54d0285b7d21129a1b0a5cf63b1840fb88dcebfa8e632e9d30052df,023a1bcef0dbcaa037cab853e184f8681d260b90ab36a5f11c96ae2476a50a3d
SRC-CTAMAP-1.30,2021,2021年初,year_start,2020,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2021/省级/T2021年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,f814f397f266f599d5ed13627c84095ac9d206cd4559bd70123dd5a3601b603d
SRC-CTAMAP-1.30,2021,2021年初,year_start,2020,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2021/地级/T2021年初地级.shp,370,POLYGON,wgs84,c23acaf708dd5573293ea079c192057f2fc51b7be4e1564ee4f0164c51f04f5e,3a821b8557317ac15aa1d5443306f9e1f306aefe731835ef51235e2a7a10f339
SRC-CTAMAP-1.30,2022,2022年初,year_start,2021,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2022/省级/T2022年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,6f702a72d7ea7e7a55f9b544c7c0eacbd9c61f86b316b490016e33757d7b0a91
SRC-CTAMAP-1.30,2022,2022年初,year_start,2021,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2022/地级/T2022年初地级.shp,371,POLYGON,wgs84,68a4a9594c78edc453342a67b41f3cda0afece8f0b003233f915aa3e7a7d92fc,1d1a0bd821edef520c69bca017c20fece7681eadd084830d8c3c1ee57cfcd6e4
SRC-CTAMAP-1.30,2023,2023年初,year_start,2022,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2023/省级/T2023年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,523669805fe6c0454034ac009945a630ede0d42df1510b46671b8adc2f54d701
SRC-CTAMAP-1.30,2023,2023年初,year_start,2022,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2023/地级/T2023年初地级.shp,371,POLYGON,wgs84,f59903ba6bd86367ad75f02dde9080a65b486b7370b5d93bb93839cdf5a59041,919138f83296d8551a65b6eed20dcdd54471a44ff30c6a008621fbdc1c6c6f21
SRC-CTAMAP-1.30,2024,2024年初,year_start,2023,province,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2024/省级/T2024年初省级.shp,34,POLYGON,wgs84,cf5347dc7c6319b76a53dce12866250d9b4f224e9e2727ce7feb9af57fe33b17,023a71e42ab929f5a81a4ace5afc730499b663c60a869353f51290356b6a2a34
SRC-CTAMAP-1.30,2024,2024年初,year_start,2023,prefecture,data/raw/CTAmap1.30版本_2000-2024_2025.04.25/2024/地级/T2024年初地级.shp,372,POLYGON,wgs84,ce64d0bbfab2a884885a62b7a5c8ad6585acdd362531da36951a5a63dfb7647a,b9ffd89c924e3e04cab58a486adf97ebf5c3f82d466eea288ed20e146f3225fd
