entity_id,year,legal_name_zh,legal_level,status,verification_status,source_id
E210700,2004,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2005,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2006,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2007,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2008,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2009,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2010,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2011,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2012,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2013,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2014,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2015,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2016,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2017,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2018,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2019,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2020,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2021,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2022,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2023,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210700,2024,锦州市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2000,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2001,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2002,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2003,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2004,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2005,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2006,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2007,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2008,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2009,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2010,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2011,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2012,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2013,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2014,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2015,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2016,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2017,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2018,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2019,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2020,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2021,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2022,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2023,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210800,2024,营口市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2000,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2001,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2002,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2003,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2004,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2005,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2006,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2007,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2008,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2009,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2010,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2011,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2012,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2013,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2014,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2015,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2016,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2017,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2018,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2019,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2020,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2021,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2022,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2023,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E210900,2024,阜新市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2000,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2001,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2002,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2003,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2004,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2005,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2006,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2007,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2008,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2009,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2010,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2011,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2012,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2013,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2014,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2015,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2016,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2017,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2018,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2019,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2020,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2021,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2022,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2023,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211000,2024,辽阳市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2000,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2001,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2002,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2003,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2004,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2005,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2006,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2007,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2008,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2009,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2010,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2011,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2012,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2013,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2014,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2015,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2016,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2017,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2018,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2019,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2020,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2021,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2022,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2023,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211100,2024,盘锦市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2000,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2001,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2002,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2003,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2004,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2005,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2006,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2007,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2008,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2009,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2010,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2011,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2012,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2013,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2014,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2015,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2016,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2017,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2018,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2019,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2020,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2021,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2022,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2023,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E211200,2024,铁岭市,prefecture,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
