entity_id,canonical_name_zh,entity_level,id_namespace,verification_status
E320500,苏州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E320600,南通市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E320700,连云港市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E320800,淮安市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E320900,盐城市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E321000,扬州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E321100,镇江市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E321200,泰州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E321300,宿迁市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E330100,杭州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E330200,宁波市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E330300,温州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E330400,嘉兴市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E330500,湖州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E330600,绍兴市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E330700,金华市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E330800,衢州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E330900,舟山市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E331000,台州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E331100,丽水市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E340100,合肥市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E340200,芜湖市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E340300,蚌埠市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E340400,淮南市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E340500,马鞍山市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E340600,淮北市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E340700,铜陵市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E340800,安庆市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E341000,黄山市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E341100,滁州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E341200,阜阳市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E341300,宿州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E341400,巢湖市,prefecture_research_entity,project_stable_id_not_official_code,wikipedia_verified
E341500,六安市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E341600,亳州市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E341700,池州市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E341800,宣城市,prefecture_research_entity,project_stable_id_not_official_code,event_crosschecked
E350100,福州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E350200,厦门市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E350300,莆田市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E350400,三明市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E350500,泉州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E350600,漳州市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E350700,南平市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E350800,龙岩市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E350900,宁德市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E360100,南昌市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
E360200,景德镇市,prefecture_research_entity,project_stable_id_not_official_code,inherited_unverified
