row_id,year,section,table_number,row_number,row_kind,header_text,row_text,cells_json,raw_markup,source_title,source_url,revision_id
WIKI-COUNTY-1993-07-016,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,16,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,潮阳县 | 440524 | 广东省汕头市 | 撤销潮阳县，设立潮阳市（县级） | 广东省直辖；汕头市代管 | 潮阳市 | 449011 | 国务院批准；民政部4月9日批复同意；民行批〔1993〕78号,"[""潮阳县"",""440524"",""广东省汕头市"",""撤销潮阳县，设立潮阳市（县级）"",""广东省直辖；汕头市代管"",""潮阳市"",""449011"",""国务院批准；民政部4月9日批复同意；民行批〔1993〕78号""]","[[潮阳县]] | 440524 | [[广东省]][[汕头市]] | 撤销潮阳县，设立潮阳市（县级） | [[广东省]]直辖<br>[[汕头市]]代管 | [[潮阳市]] | 449011{{notetag|1994年4月25日，[[潮阳市]]被[[s:国务院关于同意广东省汕头市设立河浦区的批复|批复]]划出河浦镇，设立[[汕头市]][[河浦区]]，行政区划代码440510（国函〔1994〕35号）<ref name=""gb9409""/>。<br>潮阳市行政区划代码后调整为440582<ref name=""dm95""/>。<br>2003年1月29日，[[潮阳市]]被[[s:国务院关于同意广东省调整汕头市行政区划的批复|批复]]撤销，分设[[汕头市]][[潮阳区]]、[[潮南区]]，行政区划代码分别为440513、440514（国函〔2003〕11号）<ref name=""xz2003""/>。}} | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]4月9日批复同意<br>[[s:民政部关于广东省撤销潮阳县设立潮阳市的批复|民行批〔1993〕78号]]<ref name=""gb08""/>",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
WIKI-COUNTY-1993-07-017,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,17,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,灵宝县 | 411223 | 河南省三门峡市 | 撤销灵宝县，设立灵宝市（县级） | 河南省直辖；三门峡市代管 | 灵宝市 | 419010 | 国务院批准；民政部5月12日批复同意；民行批〔1993〕92号,"[""灵宝县"",""411223"",""河南省三门峡市"",""撤销灵宝县，设立灵宝市（县级）"",""河南省直辖；三门峡市代管"",""灵宝市"",""419010"",""国务院批准；民政部5月12日批复同意；民行批〔1993〕92号""]","[[灵宝市|灵宝县]] | 411223 | [[河南省]][[三门峡市]] | 撤销灵宝县，设立灵宝市（县级） | [[河南省]]直辖<br>[[三门峡市]]代管 | [[灵宝市]] | 419010{{notetag|后调整为411282<ref name=""dm95""/>。}} | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]5月12日批复同意<br>[[s:民政部关于河南省撤销灵宝县设立灵宝市的批复|民行批〔1993〕92号]]<ref name=""gb08""/>",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
WIKI-COUNTY-1993-07-018,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,18,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,高平县 | 140523 | 山西省晋城市 | 撤销高平县，设立高平市（县级） | 山西省直辖；晋城市代管 | 高平市 | 149002 | 国务院批准；民政部5月12日批复同意；民行批〔1993〕93号,"[""高平县"",""140523"",""山西省晋城市"",""撤销高平县，设立高平市（县级）"",""山西省直辖；晋城市代管"",""高平市"",""149002"",""国务院批准；民政部5月12日批复同意；民行批〔1993〕93号""]","[[高平县]] | 140523 | [[山西省]][[晋城市]] | 撤销高平县，设立高平市（县级） | [[山西省]]直辖<br>[[晋城市]]代管 | [[高平市]] | 149002{{notetag|后调整为140581<ref name=""dm95""/>。}} | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]5月12日批复同意<br>[[s:民政部关于山西省撤销高平县设立高平市的批复|民行批〔1993〕93号]]<ref name=""gb08""/>",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
WIKI-COUNTY-1993-07-019,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,19,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,龙海县 | 350621 | 福建省漳州市 | 撤销龙海县，设立龙海市（县级） | 福建省直辖；漳州市代管 | 龙海市 | 359006 | 国务院批准；民政部5月12日批复同意；民行批〔1993〕94号,"[""龙海县"",""350621"",""福建省漳州市"",""撤销龙海县，设立龙海市（县级）"",""福建省直辖；漳州市代管"",""龙海市"",""359006"",""国务院批准；民政部5月12日批复同意；民行批〔1993〕94号""]","[[龙海县]] | 350621 | [[福建省]][[漳州市]] | 撤销龙海县，设立龙海市（县级） | [[福建省]]直辖<br>[[漳州市]]代管 | [[龙海市]]{{notetag|2021年，[[龙海市]]被批复撤销，设立[[漳州市]][[龙海区]]<ref>{{cite web|author=福建省人民政府|title=福建省人民政府关于同意调整漳州市部分行政区划的批复（闽政文〔2021〕48号）|url=http://www.fujian.gov.cn/zwgk/zxwj/szfwj/202102/t20210203_5530847.htm|website=福建省人民政府网|accessdate=2021-08-08|date=2021-02-22|archiveurl=https://archive.today/20210811202634/http://www.fujian.gov.cn/zwgk/zxwj/szfwj/202102/t20210203_5530847.htm|archivedate=2021-08-11|deadurl=no}}</ref>。}} | 359006{{notetag|后调整为350681<ref name=""dm95""/>。}} | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]5月12日批复同意<br>[[s:民政部关于福建省撤销龙海县设立龙海市的批复|民行批〔1993〕94号]]<ref name=""gb08""/>",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
WIKI-COUNTY-1993-07-020,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,20,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,南安县 | 350523 | 福建省泉州市 | 撤销南安县，设立南安市（县级） | 福建省直辖；泉州市代管 | 南安市 | 359005 | 国务院批准；民政部5月12日批复同意；民行批〔1993〕95号,"[""南安县"",""350523"",""福建省泉州市"",""撤销南安县，设立南安市（县级）"",""福建省直辖；泉州市代管"",""南安市"",""359005"",""国务院批准；民政部5月12日批复同意；民行批〔1993〕95号""]","[[南安县 (隋朝)|南安县]] | 350523 | [[福建省]][[泉州市]] | 撤销南安县，设立南安市（县级） | [[福建省]]直辖<br>[[泉州市]]代管 | [[南安市]] | 359005{{notetag|后调整为350583<ref name=""dm95""/>。}} | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]5月12日批复同意<br>[[s:民政部关于福建省撤销南安县设立南安市的批复|民行批〔1993〕95号]]<ref name=""gb09"">{{cite web|title=中华人民共和国国务院公报 1993年第9号|url=http://www.gov.cn/gongbao/shuju/1993/gwyb199309.pdf|website=[[中国政府网]]|accessdate=2021-08-08|date=1993-06-30|archive-date=2021-08-08|archive-url=https://web.archive.org/web/20210808194900/http://www.gov.cn/gongbao/shuju/1993/gwyb199309.pdf|dead-url=no}}</ref>",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
WIKI-COUNTY-1993-07-021,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,21,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,寿光县 | 370723 | 山东省潍坊市 | 撤销寿光县，设立寿光市（县级） | 山东省直辖；潍坊市代管 | 寿光市 | 379023 | 国务院批准；民政部6月1日批复同意；民行批〔1993〕116号,"[""寿光县"",""370723"",""山东省潍坊市"",""撤销寿光县，设立寿光市（县级）"",""山东省直辖；潍坊市代管"",""寿光市"",""379023"",""国务院批准；民政部6月1日批复同意；民行批〔1993〕116号""]","[[寿光县]] | 370723 | [[山东省]][[潍坊市]] | 撤销寿光县，设立寿光市（县级） | [[山东省]]直辖<br>[[潍坊市]]代管 | [[寿光市]] | 379023{{notetag|后调整为370783<ref name=""dm95""/>。}} | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]6月1日批复同意<br>[[s:民政部关于山东省撤销寿光县设立寿光市的批复|民行批〔1993〕116号]]<ref name=""gb13""/>",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
WIKI-COUNTY-1993-07-022,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,22,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,五常县 | 232125 | 黑龙江省；松花江地区 | 撤销五常县，设立五常市（县级） | 黑龙江省；松花江地区 | 五常市 | 232103 | 国务院批准；民政部6月1日批复同意；民行批〔1993〕117号,"[""五常县"",""232125"",""黑龙江省；松花江地区"",""撤销五常县，设立五常市（县级）"",""黑龙江省；松花江地区"",""五常市"",""232103"",""国务院批准；民政部6月1日批复同意；民行批〔1993〕117号""]","[[五常县]] | 232125 | [[黑龙江省]]<br>[[松花江地区]]{{notetag|1996年8月11日，[[五常市]]被[[s:国务院关于同意黑龙江省松花江地区与哈尔滨市合并的批复|批复]]改由黑龙江省区直辖，[[哈尔滨市]]代管，行政区划代码调整为230184（国函〔1996〕64号）<ref name=""gb9625"">{{cite web|title=中华人民共和国国务院公报 1996年第25号|url=http://www.gov.cn/gongbao/shuju/1996/gwyb199625.pdf|website=[[中国政府网]]|accessdate=2021-08-08|date=1996-09-13|archive-date=2013-06-20|archive-url=https://web.archive.org/web/20130620012838/http://www.gov.cn/gongbao/shuju/1996/gwyb199625.pdf|dead-url=no}}</ref>。}} | 撤销五常县，设立五常市（县级） | [[黑龙江省]]<br>[[松花江地区]] | [[五常市]] | 232103 | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]6月1日批复同意<br>[[s:民政部关于黑龙江省撤销五常县设立五常市的批复|民行批〔1993〕117号]]<ref name=""gb13""/>",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
WIKI-COUNTY-1993-07-023,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,23,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,高州县 | 440922 | 广东省茂名市 | 撤销高州县，设立高州市（县级） | 广东省直辖；茂名市代管 | 高州市 | 449012 | 国务院批准；民政部6月8日批复同意；民行批〔1993〕126号,"[""高州县"",""440922"",""广东省茂名市"",""撤销高州县，设立高州市（县级）"",""广东省直辖；茂名市代管"",""高州市"",""449012"",""国务院批准；民政部6月8日批复同意；民行批〔1993〕126号""]","[[高州县]] | 440922 | [[广东省]][[茂名市]] | 撤销高州县，设立高州市（县级） | [[广东省]]直辖<br>[[茂名市]]代管 | [[高州市]] | 449012{{notetag|后调整为440981<ref name=""dm95""/>。}} | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]6月8日批复同意<br>[[s:民政部关于广东省撤销高州县设立高州市的批复|民行批〔1993〕126号]]<ref name=""gb13""/>",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
WIKI-COUNTY-1993-07-024,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,24,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,新民县 | 210121 | 辽宁省沈阳市 | 撤销新民县，设立新民市（县级） | 辽宁省直辖；沈阳市代管 | 新民市 | 219013 | 国务院批准；民政部6月14日批复同意；民行批〔1993〕128号,"[""新民县"",""210121"",""辽宁省沈阳市"",""撤销新民县，设立新民市（县级）"",""辽宁省直辖；沈阳市代管"",""新民市"",""219013"",""国务院批准；民政部6月14日批复同意；民行批〔1993〕128号""]","[[新民市|新民县]] | 210121 | [[辽宁省]][[沈阳市]] | 撤销新民县，设立新民市（县级） | [[辽宁省]]直辖<br>[[沈阳市]]代管 | [[新民市]] | 219013{{notetag|后调整为210181<ref name=""dm95""/>。}} | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]6月14日批复同意<br>[[s:民政部关于辽宁省撤销新民县设立新民市的批复|民行批〔1993〕128号]]",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
WIKI-COUNTY-1993-07-025,1993,其他县级行政区划变更列表 / 撤销县，设立县级市,7,25,data,原行政单位 | 原属省市（地、州） | 变更方式 | 现属省市 | 新行政建制 | 变更时间与批文,原平县 | 142224 | 山西省忻州地区 | 撤销原平县，设立原平市（县级） | 山西省忻州地区 | 原平市 | 142202 | 国务院批准；民政部6月17日批复同意；民行批〔1993〕129号,"[""原平县"",""142224"",""山西省忻州地区"",""撤销原平县，设立原平市（县级）"",""山西省忻州地区"",""原平市"",""142202"",""国务院批准；民政部6月17日批复同意；民行批〔1993〕129号""]","[[原平县]] | 142224 | [[山西省]][[忻州地区]] | 撤销原平县，设立原平市（县级） | [[山西省]][[忻州地区]] | [[原平市]] | 142202{{notetag|2000年6月14日，[[原平市]]被[[s:国务院关于同意山西省撤销忻州地区设立地级忻州市的批复|批复]]改由[[忻州市]]代管，行政区划代码调整为140981（国函〔2000〕70号）<ref name=""mz2000""/>。}} | [[中华人民共和国国务院|国务院]]批准<br>[[中华人民共和国民政部|民政部]]6月17日批复同意<br>[[s:民政部关于山西省撤销原平县设立原平市的批复|民行批〔1993〕129号]]",1993年中华人民共和国县级以上行政区划变更列表,https://zh.wikipedia.org/wiki/1993%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,91124767
