entity_id,name_zh,start_year,end_year,legal_status,verification_status,source_id
E230700,伊春市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E230800,佳木斯市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E230900,七台河市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E231000,牡丹江市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E231100,黑河市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E231200,绥化市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E232700,大兴安岭地区,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E310100,上海市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E320100,南京市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E320200,无锡市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E320300,徐州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E320400,常州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E320500,苏州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E320600,南通市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E320700,连云港市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E320800,淮安市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
E320900,盐城市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E321000,扬州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E321100,镇江市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E321200,泰州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E321300,宿迁市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E330100,杭州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E330200,宁波市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E330300,温州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E330400,嘉兴市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E330500,湖州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E330600,绍兴市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E330700,金华市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E330800,衢州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E330900,舟山市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E331000,台州市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E331100,丽水市,2000,2024,active,event_crosschecked,SRC-LEGACY-SNAPSHOT
E340100,合肥市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E340200,芜湖市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
E340300,蚌埠市,2000,2024,active,inherited_unverified,SRC-LEGACY-SNAPSHOT
