entity_id,legacy_entity_id,canonical_name_zh,entity_scope,id_status
CNUR-000094,E330800,衢州市,current_panel_entity,permanent
CNUR-000095,E330900,舟山市,current_panel_entity,permanent
CNUR-000096,E331000,台州市,current_panel_entity,permanent
CNUR-000097,E331100,丽水市,current_panel_entity,permanent
CNUR-000098,E340100,合肥市,current_panel_entity,permanent
CNUR-000099,E340200,芜湖市,current_panel_entity,permanent
CNUR-000100,E340300,蚌埠市,current_panel_entity,permanent
CNUR-000101,E340400,淮南市,current_panel_entity,permanent
CNUR-000102,E340500,马鞍山市,current_panel_entity,permanent
CNUR-000103,E340600,淮北市,current_panel_entity,permanent
CNUR-000104,E340700,铜陵市,current_panel_entity,permanent
CNUR-000105,E340800,安庆市,current_panel_entity,permanent
CNUR-000106,E341000,黄山市,current_panel_entity,permanent
CNUR-000107,E341100,滁州市,current_panel_entity,permanent
CNUR-000108,E341200,阜阳市,current_panel_entity,permanent
CNUR-000109,E341300,宿州市,current_panel_entity,permanent
CNUR-000110,E341400,巢湖市,current_panel_entity,permanent
CNUR-000111,E341500,六安市,current_panel_entity,permanent
CNUR-000112,E341600,亳州市,current_panel_entity,permanent
CNUR-000113,E341700,池州市,current_panel_entity,permanent
CNUR-000114,E341800,宣城市,current_panel_entity,permanent
CNUR-000115,E350100,福州市,current_panel_entity,permanent
CNUR-000116,E350200,厦门市,current_panel_entity,permanent
CNUR-000117,E350300,莆田市,current_panel_entity,permanent
CNUR-000118,E350400,三明市,current_panel_entity,permanent
CNUR-000119,E350500,泉州市,current_panel_entity,permanent
CNUR-000120,E350600,漳州市,current_panel_entity,permanent
CNUR-000121,E350700,南平市,current_panel_entity,permanent
CNUR-000122,E350800,龙岩市,current_panel_entity,permanent
CNUR-000123,E350900,宁德市,current_panel_entity,permanent
CNUR-000124,E360100,南昌市,current_panel_entity,permanent
CNUR-000125,E360200,景德镇市,current_panel_entity,permanent
CNUR-000126,E360300,萍乡市,current_panel_entity,permanent
CNUR-000127,E360400,九江市,current_panel_entity,permanent
CNUR-000128,E360500,新余市,current_panel_entity,permanent
CNUR-000129,E360600,鹰潭市,current_panel_entity,permanent
CNUR-000130,E360700,赣州市,current_panel_entity,permanent
CNUR-000131,E360800,吉安市,current_panel_entity,permanent
CNUR-000132,E360900,宜春市,current_panel_entity,permanent
CNUR-000133,E361000,抚州市,current_panel_entity,permanent
CNUR-000134,E361100,上饶市,current_panel_entity,permanent
CNUR-000135,E370100,济南市,current_panel_entity,permanent
CNUR-000136,E370200,青岛市,current_panel_entity,permanent
CNUR-000137,E370300,淄博市,current_panel_entity,permanent
CNUR-000138,E370400,枣庄市,current_panel_entity,permanent
CNUR-000139,E370500,东营市,current_panel_entity,permanent
CNUR-000140,E370600,烟台市,current_panel_entity,permanent
CNUR-000141,E370700,潍坊市,current_panel_entity,permanent
CNUR-000142,E370800,济宁市,current_panel_entity,permanent
CNUR-000143,E370900,泰安市,current_panel_entity,permanent
CNUR-000144,E371000,威海市,current_panel_entity,permanent
CNUR-000145,E371100,日照市,current_panel_entity,permanent
CNUR-000146,E371200,莱芜市,current_panel_entity,permanent
CNUR-000147,E371300,临沂市,current_panel_entity,permanent
CNUR-000148,E371400,德州市,current_panel_entity,permanent
CNUR-000149,E371500,聊城市,current_panel_entity,permanent
CNUR-000150,E371600,滨州市,current_panel_entity,permanent
CNUR-000151,E371700,菏泽市,current_panel_entity,permanent
CNUR-000152,E410100,郑州市,current_panel_entity,permanent
CNUR-000153,E410200,开封市,current_panel_entity,permanent
CNUR-000154,E410300,洛阳市,current_panel_entity,permanent
CNUR-000155,E410400,平顶山市,current_panel_entity,permanent
CNUR-000156,E410500,安阳市,current_panel_entity,permanent
CNUR-000157,E410600,鹤壁市,current_panel_entity,permanent
CNUR-000158,E410700,新乡市,current_panel_entity,permanent
CNUR-000159,E410800,焦作市,current_panel_entity,permanent
CNUR-000160,E410900,濮阳市,current_panel_entity,permanent
CNUR-000161,E411000,许昌市,current_panel_entity,permanent
CNUR-000162,E411100,漯河市,current_panel_entity,permanent
CNUR-000163,E411200,三门峡市,current_panel_entity,permanent
CNUR-000164,E411300,南阳市,current_panel_entity,permanent
CNUR-000165,E411400,商丘市,current_panel_entity,permanent
CNUR-000166,E411500,信阳市,current_panel_entity,permanent
CNUR-000167,E411600,周口市,current_panel_entity,permanent
CNUR-000168,E411700,驻马店市,current_panel_entity,permanent
CNUR-000169,E420100,武汉市,current_panel_entity,permanent
CNUR-000170,E420200,黄石市,current_panel_entity,permanent
CNUR-000171,E420300,十堰市,current_panel_entity,permanent
CNUR-000172,E420500,宜昌市,current_panel_entity,permanent
CNUR-000173,E420600,襄阳市,current_panel_entity,permanent
CNUR-000174,E420700,鄂州市,current_panel_entity,permanent
CNUR-000175,E420800,荆门市,current_panel_entity,permanent
CNUR-000176,E420900,孝感市,current_panel_entity,permanent
CNUR-000177,E421000,荆州市,current_panel_entity,permanent
CNUR-000178,E421100,黄冈市,current_panel_entity,permanent
CNUR-000179,E421200,咸宁市,current_panel_entity,permanent
CNUR-000180,E421300,随州市,current_panel_entity,permanent
CNUR-000181,E422800,恩施土家族苗族自治州,current_panel_entity,permanent
CNUR-000182,E430100,长沙市,current_panel_entity,permanent
CNUR-000183,E430200,株洲市,current_panel_entity,permanent
CNUR-000184,E430300,湘潭市,current_panel_entity,permanent
CNUR-000185,E430400,衡阳市,current_panel_entity,permanent
CNUR-000186,E430500,邵阳市,current_panel_entity,permanent
CNUR-000187,E430600,岳阳市,current_panel_entity,permanent
CNUR-000188,E430700,常德市,current_panel_entity,permanent
CNUR-000189,E430800,张家界市,current_panel_entity,permanent
CNUR-000190,E430900,益阳市,current_panel_entity,permanent
CNUR-000191,E431000,郴州市,current_panel_entity,permanent
CNUR-000192,E431100,永州市,current_panel_entity,permanent
CNUR-000193,E431200,怀化市,current_panel_entity,permanent
CNUR-000194,E431300,娄底市,current_panel_entity,permanent
CNUR-000195,E433100,湘西土家族苗族自治州,current_panel_entity,permanent
