historical_entity_id,legacy_entity_id,canonical_name_zh,entity_type,province_at_time,start_year,end_year,successor_summary,source_url,review_status
CNUR-000341,HIST-HN-LMZ,海南黎族苗族自治州,abolished_autonomous_prefecture,广东省,1955,1987,撤销后原辖县改由海南行政区直辖,https://zh.wikipedia.org/wiki/海南黎族苗族自治州,reviewed
CNUR-000342,HIST-CQ-WANXIAN,万县市,abolished_prefecture_level_city,四川省,1992,1997,撤销后主体进入重庆万县移民开发区和后来的万州区体系,https://zh.wikipedia.org/wiki/萬縣市,reviewed
CNUR-000343,HIST-SX-YANBEI,雁北地区,abolished_prefecture,山西省,1970,1993,所辖县分别划归大同市和朔州市,https://zh.wikipedia.org/wiki/雁北地区,reviewed
CNUR-000344,HIST-CQ-FULING,涪陵市,abolished_prefecture_level_city,四川省,1995,1997,撤销后设重庆市涪陵区并将其他县市改由重庆直辖,https://zh.wikipedia.org/wiki/涪陵市_(地级市),reviewed
CNUR-000345,HIST-CQ-QIANJIANG,黔江地区,abolished_prefecture,四川省,1988,1997,撤销后设重庆市黔江开发区并最终进入重庆区县体系,https://zh.wikipedia.org/wiki/黔江地区,reviewed
