event_id,year,province_name,event_type,entity_id,old_prefecture_name,new_prefecture_name,approval_date,document_number,automatic_continuity,confidence,normalization_status,review_note,risk_flags,description,source_section,source_url,revision_id,source_row_number
WIKI-1988-011,1988,广东省,establish,CNUR-000208,,汕尾市,,,false,medium,accepted_manual_review,汕尾市 was explicitly established as a prefecture-level city,,"rowspan=""3""|海丰县||rowspan=""3""|442531||rowspan=""2""|设立汕尾市（地级）和汕尾市城区，以海丰县部分镇为汕尾市城区的行政区域||colspan=""2""|汕尾市||441500",地级市的增设与调整,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,50
WIKI-1988-012,1988,广东省,establish,CNUR-000209,,河源市,,,false,medium,accepted_manual_review,河源市 was explicitly established as a prefecture-level city,,"rowspan=""3""|河源县||rowspan=""3""|442525||rowspan=""3""|撤销河源县，设立河源市（地级）和河源市源城区、郊区||colspan=""2""|河源市||441600",地级市的增设与调整,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,56
WIKI-1988-013,1988,广东省,upgrade,CNUR-000207,梅县地区,梅州市,,,true,high,accepted_rule_extraction,,,"colspan=""2""|梅县地区 |442400 |rowspan=""3""|撤销梅县地区，设立梅州市（地级）<br>撤销梅县市，分设梅县、梅州市梅江区<br>梅县由梅州市管辖 |colspan=""2""|梅州市 |441400",地级市的增设与调整,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,64
WIKI-1988-014,1988,广东省,establish,CNUR-000210,,阳江市,,,false,medium,accepted_manual_review,阳江市 was explicitly established as a prefecture-level city,,"rowspan=""4""|江门市管辖||rowspan=""4""|阳江县||rowspan=""4""|440726||rowspan=""4""|撤销阳江县，设立阳江市（地级）、阳西县和阳江市江城区、阳东区<br>阳西县由阳江市管辖||colspan=""2""|阳江市||441700",地级市的增设与调整,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,73
WIKI-1988-015,1988,广东省,establish,CNUR-000211,,清远市,,,false,medium,accepted_manual_review,清远市 was explicitly established as a prefecture-level city,,"rowspan=""3""|广州市管辖||rowspan=""3""|清远县||rowspan=""3""|440127||rowspan=""3""|撤销清远县，设立清远市（地级）和清远市清城区、清郊区||colspan=""2""|清远市||441800",地级市的增设与调整,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,77
WIKI-1988-016,1988,安徽省,merge,CNUR-000105,安庆地区,安庆市,1988-08-17,国函〔1988〕105号,false,medium,accepted_manual_review,安庆地区 and the existing city were merged into the unified 安庆市,,"colspan=""2""|安庆地区||342800 |rowspan=""13""|8月17日国务院批复同意<br>国函〔1988〕105号 |撤销安庆地区与原安庆市，实行地市合并，设立新的安庆市 |colspan=""3""",地区的增设,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,82
WIKI-1988-017,1988,安徽省,establish_prefecture,CNUR-000113,,池州地区,,,false,medium,accepted_manual_review,池州地区 later continued as the Chizhou research entity,,"colspan=""2""| ||设立池州地区||colspan=""2""|池州地区||342900",地区的增设,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,91
WIKI-1988-018,1988,福建省,rename,CNUR-000121,建阳地区,南平地区,1988-10-24,国函〔1988〕128号,true,high,accepted_manual_review,建阳地区 renamed 南平地区 and later became 南平市,,建阳地区||352100||国务院10月24日批复同意<br>国函〔1988〕128号||将建阳地区驻地由建阳县迁至南平市<br>建阳地区更名为南平地区||南平地区,地区的驻地迁移与更名,https://zh.wikipedia.org/wiki/1988%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,93182311,102
WIKI-1992-019,1992,安徽省,upgrade,CNUR-000107,滁县地区,滁州市,1992-12-20,国函〔1992〕201号,true,high,accepted_rule_extraction,,,"colspan=""2""|滁县地区 |342300 |rowspan=""3""|撤销滁县地区和滁州市（县级）<br>设立滁州市（地级）和滁州市琅琊区、南谯区 |colspan=""2""|滁州市 |341100 |rowspan=""9""|国务院12月20日批复同意<br>国函〔1992〕201号",撤销地区，设立地级市（地区）,https://zh.wikipedia.org/wiki/1992%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,88403920,2
WIKI-1992-020,1992,四川省,upgrade,CNUR-000342,万县地区,万县市,1992-12-11,国函〔1992〕194号,true,high,accepted_manual_review,Wanxian Prefecture continued as the historical prefecture-level Wanxian City until 1997,,"colspan=""2"" id=""5122""|万县地区 |512200 |rowspan=""5""|撤销万县地区及万县市、万县，设立万县市（地级）<br>新设万县市设三个市辖区：龙宝区、天城区和五桥区 |colspan=""2""|万县市 |511200 |rowspan=""13""|国务院12月11日批复同意<br>国函〔1992〕194号",撤销地区，设立地级市（地区）,https://zh.wikipedia.org/wiki/1992%E5%B9%B4%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E5%8E%BF%E7%BA%A7%E4%BB%A5%E4%B8%8A%E8%A1%8C%E6%94%BF%E5%8C%BA%E5%88%92%E5%8F%98%E6%9B%B4%E5%88%97%E8%A1%A8,88403920,12
