event_id,year,section,event_type,prefecture_names,prefecture_entity_ids,county_names,old_county_units,new_county_units,change_description,county_unit_types,scope,description,source_title,source_url,source_id,source_type,source_locator,source_confidence,review_status
RMRB-COUNTY-1987-02-10-014,1986,江苏省 / 1986-07—1986-12,split,,,沙洲县、张家港市、域为张家港市,沙洲县,张家港市,撤销沙洲县，设立张家港市（县级），以原沙洲县的行政区域为张家港市的行政区域，市人民政府驻杨舍镇,县、市,county_level,江苏省：撤销沙洲县，设立张家港市（县级），以原沙洲县的行政区域为张家港市的行政区域，市人民政府驻杨舍镇,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-015,1986,江苏省 / 1986-07—1986-12,jurisdiction_transfer,常州市,CNUR-000077,广化区、天宁区,广化区,钟楼区、天宁区,常州市撤销广化区，将原广化区的行政区域分别划归钟楼区和天宁区,区,county_level,江苏省：常州市撤销广化区，将原广化区的行政区域分别划归钟楼区和天宁区,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-016,1986,浙江省 / 1986-07—1986-12,split,,,海宁县、海宁市、域为海宁市,海宁县,海宁市,撤销海宁县，设立海宁市（县级），以原海宁县的行政区域为海宁市的行政区域。,县、市,county_level,浙江省：撤销海宁县，设立海宁市（县级），以原海宁县的行政区域为海宁市的行政区域。,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-017,1986,山东省 / 1986-07—1986-12,split,,,黄县、龙口市、域为龙口市,黄县,龙口市,撤销黄县，设立龙口市（县级），以原黄县的行政区域为龙口市的行政区域，市人民政府驻龙口。,县、市,county_level,山东省：撤销黄县，设立龙口市（县级），以原黄县的行政区域为龙口市的行政区域，市人民政府驻龙口。,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-018,1986,湖北省 / 1986-07—1986-12,split,宜昌市,CNUR-000172,西陵区、伍家岗区、点军区,,伍家岗区,宜昌市设立西陵区、伍家岗区、点军区。,区,county_level,湖北省：宜昌市设立西陵区、伍家岗区、点军区。,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-019,1986,湖南省 / 1986-07—1986-12,split,,,湘乡县、湘乡市、域为湘乡市,湘乡县,湘乡市,撤销湘乡县，设立湘乡市（县级），以原湘乡县的行政区域为湘乡市的行政区域,县、市,county_level,湖南省：撤销湘乡县，设立湘乡市（县级），以原湘乡县的行政区域为湘乡市的行政区域,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-020,1986,湖南省 / 1986-07—1986-12,split,,,耒阳县、耒阳市、域为耒阳市,耒阳县,耒阳市,撤销耒阳县，设立耒阳市（县级），以原耒阳县的行政区域为耒阳市的行政区域,县、市,county_level,湖南省：撤销耒阳县，设立耒阳市（县级），以原耒阳县的行政区域为耒阳市的行政区域,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-021,1986,湖南省 / 1986-07—1986-12,split,,,芷江县、芷江侗族自治县、域为芷江侗族自治县,芷江县,芷江侗族自治县,撤销芷江县，设立芷江侗族自治县，以原芷江县的行政区域为芷江侗族自治县的行政区域,县、自治县,county_level,湖南省：撤销芷江县，设立芷江侗族自治县，以原芷江县的行政区域为芷江侗族自治县的行政区域,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-022,1986,广西壮族自治区 / 1986-07—1986-12,split,,,环江县、环江毛南族自治县、域为环江毛南族自治县,环江县,环江毛南族自治县,撤销环江县，设立环江毛南族自治县，以原环江县的行政区域为环江毛南族自治县的行政区域。,县、自治县,county_level,广西壮族自治区：撤销环江县，设立环江毛南族自治县，以原环江县的行政区域为环江毛南族自治县的行政区域。,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
RMRB-COUNTY-1987-02-10-023,1986,贵州省 / 1986-07—1986-12,split,,,务川县、务川仡佬族苗族自治县、域为务川仡佬族苗族自治县,务川县,务川仡佬族苗族自治县,撤销务川县，设立务川仡佬族苗族自治县，以原务川县的行政区域为务川仡佬族苗族自治县的行政区域,县、自治县,county_level,贵州省：撤销务川县，设立务川仡佬族苗族自治县，以原务川县的行政区域为务川仡佬族苗族自治县的行政区域,1986年下半年全国县级以上行政区划变更情况,https://cn.govopendata.com/renminribao/1987/2/10/4/,SRC-RMRB-1987-02-10,people_daily_summary,人民日报 1987-02-10 第4版,primary_text,source_text_parsed_review_required
