prefecture_entity_id,prefecture_name,year,whole_city_break_count,district_jump_count,district_merge_count,whole_city_break_flag,district_jump_flag,sample_entry_flag,treatment_summary
CNUR-000005,秦皇岛市,2009,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2010,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2011,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2012,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2013,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2014,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2015,0,1,0,0,1,0,district_scope_jump
CNUR-000005,秦皇岛市,2016,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2017,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2018,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2019,0,0,0,0,0,0,stable
CNUR-000005,秦皇岛市,2020,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,1999,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2000,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2001,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2002,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2003,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2004,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2005,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2006,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2007,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2008,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2009,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2010,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2011,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2012,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2013,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2014,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2015,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2016,0,3,0,0,1,0,district_scope_jump
CNUR-000006,邯郸市,2017,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2018,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2019,0,0,0,0,0,0,stable
CNUR-000006,邯郸市,2020,0,0,0,0,0,0,stable
CNUR-000007,邢台市,1999,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2000,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2001,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2002,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2003,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2004,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2005,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2006,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2007,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2008,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2009,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2010,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2011,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2012,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2013,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2014,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2015,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2016,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2017,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2018,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2019,0,0,0,0,0,0,stable
CNUR-000007,邢台市,2020,0,2,0,0,1,0,district_scope_jump
CNUR-000008,保定市,1999,0,0,0,0,0,0,stable
CNUR-000008,保定市,2000,0,0,0,0,0,0,stable
CNUR-000008,保定市,2001,0,0,0,0,0,0,stable
CNUR-000008,保定市,2002,0,0,0,0,0,0,stable
CNUR-000008,保定市,2003,0,0,0,0,0,0,stable
CNUR-000008,保定市,2004,0,0,0,0,0,0,stable
CNUR-000008,保定市,2005,0,0,0,0,0,0,stable
CNUR-000008,保定市,2006,0,0,0,0,0,0,stable
CNUR-000008,保定市,2007,0,0,0,0,0,0,stable
CNUR-000008,保定市,2008,0,0,0,0,0,0,stable
CNUR-000008,保定市,2009,0,0,0,0,0,0,stable
CNUR-000008,保定市,2010,0,0,0,0,0,0,stable
CNUR-000008,保定市,2011,0,0,0,0,0,0,stable
CNUR-000008,保定市,2012,0,0,0,0,0,0,stable
CNUR-000008,保定市,2013,0,0,0,0,0,0,stable
CNUR-000008,保定市,2014,0,0,0,0,0,0,stable
CNUR-000008,保定市,2015,0,3,0,0,1,0,district_scope_jump
CNUR-000008,保定市,2016,0,0,0,0,0,0,stable
CNUR-000008,保定市,2017,0,0,0,0,0,0,stable
CNUR-000008,保定市,2018,0,0,0,0,0,0,stable
CNUR-000008,保定市,2019,0,0,0,0,0,0,stable
CNUR-000008,保定市,2020,0,0,0,0,0,0,stable
CNUR-000009,张家口市,1999,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2000,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2001,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2002,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2003,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2004,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2005,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2006,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2007,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2008,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2009,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2010,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2011,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2012,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2013,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2014,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2015,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2016,0,3,0,0,1,0,district_scope_jump
CNUR-000009,张家口市,2017,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2018,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2019,0,0,0,0,0,0,stable
CNUR-000009,张家口市,2020,0,0,0,0,0,0,stable
CNUR-000010,承德市,1999,0,0,0,0,0,0,stable
CNUR-000010,承德市,2000,0,0,0,0,0,0,stable
CNUR-000010,承德市,2001,0,0,0,0,0,0,stable
CNUR-000010,承德市,2002,0,0,0,0,0,0,stable
CNUR-000010,承德市,2003,0,0,0,0,0,0,stable
CNUR-000010,承德市,2004,0,0,0,0,0,0,stable
CNUR-000010,承德市,2005,0,0,0,0,0,0,stable
CNUR-000010,承德市,2006,0,0,0,0,0,0,stable
CNUR-000010,承德市,2007,0,0,0,0,0,0,stable
CNUR-000010,承德市,2008,0,0,0,0,0,0,stable
CNUR-000010,承德市,2009,0,0,0,0,0,0,stable
CNUR-000010,承德市,2010,0,0,0,0,0,0,stable
CNUR-000010,承德市,2011,0,0,0,0,0,0,stable
CNUR-000010,承德市,2012,0,0,0,0,0,0,stable
CNUR-000010,承德市,2013,0,0,0,0,0,0,stable
CNUR-000010,承德市,2014,0,0,0,0,0,0,stable
CNUR-000010,承德市,2015,0,0,0,0,0,0,stable
CNUR-000010,承德市,2016,0,0,0,0,0,0,stable
CNUR-000010,承德市,2017,0,0,0,0,0,0,stable
CNUR-000010,承德市,2018,0,0,0,0,0,0,stable
CNUR-000010,承德市,2019,0,0,0,0,0,0,stable
CNUR-000010,承德市,2020,0,0,0,0,0,0,stable
CNUR-000011,沧州市,1999,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2000,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2001,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2002,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2003,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2004,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2005,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2006,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2007,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2008,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2009,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2010,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2011,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2012,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2013,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2014,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2015,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2016,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2017,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2018,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2019,0,0,0,0,0,0,stable
CNUR-000011,沧州市,2020,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,1999,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2000,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2001,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2002,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2003,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2004,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2005,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2006,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2007,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2008,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2009,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2010,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2011,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2012,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2013,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2014,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2015,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2016,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2017,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2018,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2019,0,0,0,0,0,0,stable
CNUR-000012,廊坊市,2020,0,0,0,0,0,0,stable
CNUR-000013,衡水市,1999,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2000,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2001,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2002,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2003,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2004,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2005,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2006,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2007,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2008,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2009,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2010,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2011,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2012,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2013,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2014,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2015,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2016,0,1,0,0,1,0,district_scope_jump
CNUR-000013,衡水市,2017,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2018,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2019,0,0,0,0,0,0,stable
CNUR-000013,衡水市,2020,0,0,0,0,0,0,stable
CNUR-000014,太原市,1999,0,0,0,0,0,0,stable
CNUR-000014,太原市,2000,0,0,0,0,0,0,stable
CNUR-000014,太原市,2001,0,0,0,0,0,0,stable
CNUR-000014,太原市,2002,0,0,0,0,0,0,stable
CNUR-000014,太原市,2003,0,0,0,0,0,0,stable
CNUR-000014,太原市,2004,0,0,0,0,0,0,stable
CNUR-000014,太原市,2005,0,0,0,0,0,0,stable
CNUR-000014,太原市,2006,0,0,0,0,0,0,stable
CNUR-000014,太原市,2007,0,0,0,0,0,0,stable
CNUR-000014,太原市,2008,0,0,0,0,0,0,stable
CNUR-000014,太原市,2009,0,0,0,0,0,0,stable
CNUR-000014,太原市,2010,0,0,0,0,0,0,stable
CNUR-000014,太原市,2011,0,0,0,0,0,0,stable
CNUR-000014,太原市,2012,0,0,0,0,0,0,stable
CNUR-000014,太原市,2013,0,0,0,0,0,0,stable
CNUR-000014,太原市,2014,0,0,0,0,0,0,stable
CNUR-000014,太原市,2015,0,0,0,0,0,0,stable
CNUR-000014,太原市,2016,0,0,0,0,0,0,stable
CNUR-000014,太原市,2017,0,0,0,0,0,0,stable
CNUR-000014,太原市,2018,0,0,0,0,0,0,stable
CNUR-000014,太原市,2019,0,0,0,0,0,0,stable
CNUR-000014,太原市,2020,0,0,0,0,0,0,stable
CNUR-000015,大同市,1999,0,0,0,0,0,0,stable
CNUR-000015,大同市,2000,0,0,0,0,0,0,stable
CNUR-000015,大同市,2001,0,0,0,0,0,0,stable
CNUR-000015,大同市,2002,0,0,0,0,0,0,stable
CNUR-000015,大同市,2003,0,0,0,0,0,0,stable
CNUR-000015,大同市,2004,0,0,0,0,0,0,stable
CNUR-000015,大同市,2005,0,0,0,0,0,0,stable
CNUR-000015,大同市,2006,0,0,0,0,0,0,stable
CNUR-000015,大同市,2007,0,0,0,0,0,0,stable
CNUR-000015,大同市,2008,0,0,0,0,0,0,stable
CNUR-000015,大同市,2009,0,0,0,0,0,0,stable
CNUR-000015,大同市,2010,0,0,0,0,0,0,stable
CNUR-000015,大同市,2011,0,0,0,0,0,0,stable
CNUR-000015,大同市,2012,0,0,0,0,0,0,stable
CNUR-000015,大同市,2013,0,0,0,0,0,0,stable
CNUR-000015,大同市,2014,0,0,0,0,0,0,stable
CNUR-000015,大同市,2015,0,0,0,0,0,0,stable
CNUR-000015,大同市,2016,0,0,0,0,0,0,stable
CNUR-000015,大同市,2017,0,0,0,0,0,0,stable
CNUR-000015,大同市,2018,0,1,0,0,1,0,district_scope_jump
CNUR-000015,大同市,2019,0,0,0,0,0,0,stable
CNUR-000015,大同市,2020,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,1999,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2000,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2001,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2002,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2003,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2004,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2005,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2006,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2007,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2008,0,0,0,0,0,0,stable
CNUR-000016,阳泉市,2009,0,0,0,0,0,0,stable
